,Unnamed: 0,team_name,week,neutral_site,conference_game,home_team,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_team,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,elo_diff,point_diff,home/away,win/loss
35,35,UT San Antonio,13,False,True,UT San Antonio,34.0,0.6232129000139718,1648.0,1645.0,UTEP,31.0,0.3767870999860282,1301.0,1304.0,347.0,3.0,Home,W
36,36,UT San Antonio,14,False,True,UT San Antonio,48.0,0.9801623749448282,1645.0,1679.0,North Texas,27.0,0.01983762505517184,1487.0,1453.0,158.0,21.0,Home,W
37,37,Troy,1,False,False,Ole Miss,28.0,0.9968685336058156,1658.0,1670.0,Troy,10.0,0.003131466394184268,1347.0,1335.0,-311.0,-18.0,Away,L
38,38,Troy,2,False,False,Troy,38.0,0.9897554208345358,1324.0,1324.0,Alabama A&M,17.0,0.010244579165464174,,,,21.0,Home,W
39,39,Troy,3,False,True,Appalachian State,32.0,0.6673796058449226,1656.0,1650.0,Troy,28.0,0.3326203941550774,1335.0,1341.0,-321.0,-4.0,Away,L
40,40,Troy,4,False,True,Troy,16.0,0.9932056061260148,1341.0,1372.0,Marshall,7.0,0.006794393873985283,1570.0,1539.0,-229.0,9.0,Home,W
41,41,Troy,5,False,False,Western Kentucky,27.0,0.07709777175543672,1844.0,1789.0,Troy,34.0,0.9229022282445632,1372.0,1427.0,-472.0,7.0,Away,W
42,42,Troy,6,False,True,Troy,27.0,0.9892035573126372,1427.0,1450.0,Southern Mississippi,10.0,0.010796442687362795,1275.0,1252.0,152.0,17.0,Home,W
43,43,Troy,7,False,True,Troy,17.0,0.86824993331753,1450.0,1449.0,Texas State,14.0,0.13175006668247002,1263.0,1264.0,187.0,3.0,Home,W
44,44,Troy,8,False,True,South Alabama,6.0,0.40536486508208974,1458.0,1451.0,Troy,10.0,0.5946351349179102,1449.0,1456.0,-9.0,4.0,Away,W
45,45,Troy,10,False,True,Louisiana,17.0,0.1916032244161891,1582.0,1561.0,Troy,23.0,0.8083967755838108,1456.0,1477.0,-126.0,6.0,Away,W
46,46,Troy,11,False,False,Troy,10.0,0.012892678954630608,1477.0,1477.0,Army,9.0,0.9871073210453694,1447.0,1447.0,30.0,1.0,Home,W
47,47,Troy,12,False,True,Troy,34.0,0.9818921259740364,1477.0,1486.0,Louisiana Monroe,16.0,0.018107874025963592,1134.0,1125.0,343.0,18.0,Home,W
48,48,Troy,13,False,True,Arkansas State,19.0,0.000518121885810035,1177.0,1134.0,Troy,48.0,0.99948187811419,1486.0,1529.0,309.0,29.0,Away,W
49,49,Troy,14,False,True,Troy,45.0,0.9895088009387824,1529.0,1564.0,Coastal Carolina,26.0,0.010491199061217649,1443.0,1408.0,86.0,19.0,Home,W
50,50,Cincinnati,1,False,False,Arkansas,31.0,0.8333397474629864,1626.0,1646.0,Cincinnati,24.0,0.16666025253701355,1801.0,1781.0,175.0,-7.0,Away,L
51,51,Cincinnati,2,False,False,Cincinnati,63.0,0.9988836064827832,1787.0,1787.0,Kennesaw State,10.0,0.0011163935172168182,,,,53.0,Home,W
52,52,Cincinnati,3,True,False,Miami (OH),17.0,,1473.0,1459.0,Cincinnati,38.0,,1781.0,1795.0,308.0,21.0,Away,W
53,53,Cincinnati,4,False,False,Cincinnati,45.0,0.9888011103743614,1795.0,1801.0,Indiana,24.0,0.011198889625638642,1342.0,1336.0,453.0,21.0,Home,W
54,54,Cincinnati,5,False,True,Tulsa,21.0,0.0019669921475000615,1502.0,1506.0,Cincinnati,31.0,0.9980330078525,1801.0,1797.0,299.0,10.0,Away,W
55,55,Cincinnati,6,False,True,Cincinnati,28.0,0.3782594392785668,1797.0,1784.0,South Florida,24.0,0.6217405607214332,1167.0,1180.0,630.0,4.0,Home,W
56,56,Cincinnati,8,False,True,SMU,27.0,0.06936393848141044,1576.0,1584.0,Cincinnati,29.0,0.9306360615185896,1784.0,1776.0,208.0,2.0,Away,W
57,57,Cincinnati,9,False,True,UCF,25.0,0.9925910022639828,1687.0,1693.0,Cincinnati,21.0,0.00740899773601711,1776.0,1770.0,89.0,-4.0,Away,L
58,58,Cincinnati,10,False,True,Cincinnati,20.0,0.17670989514125346,1770.0,1764.0,Navy,10.0,0.8232901048587465,1418.0,1424.0,352.0,10.0,Home,W
59,59,Cincinnati,11,False,True,Cincinnati,27.0,0.3518625626627558,1764.0,1762.0,East Carolina,25.0,0.6481374373372442,1585.0,1587.0,179.0,2.0,Home,W
60,60,Cincinnati,12,False,True,Temple,3.0,0.05891255634172295,1117.0,1130.0,Cincinnati,23.0,0.9410874436582769,1762.0,1749.0,645.0,20.0,Away,W
61,61,Cincinnati,13,False,True,Cincinnati,24.0,0.5493342277790676,1749.0,1739.0,Tulane,27.0,0.4506657722209324,1665.0,1675.0,84.0,-3.0,Home,L
62,62,Louisville,1,False,True,Syracuse,31.0,0.7885467733468751,1405.0,1484.0,Louisville,7.0,0.21145322665312494,1568.0,1489.0,163.0,-24.0,Away,L
63,63,Louisville,2,False,False,UCF,14.0,0.004410423558601751,1569.0,1552.0,Louisville,20.0,0.9955895764413982,1489.0,1506.0,-80.0,6.0,Away,W
64,64,Louisville,3,False,True,Louisville,31.0,0.2613073872317884,1506.0,1499.0,Florida State,35.0,0.7386926127682116,1504.0,1511.0,2.0,-4.0,Home,L
65,65,Louisville,4,False,False,Louisville,41.0,0.9986918607515556,1499.0,1575.0,South Florida,3.0,0.0013081392484444176,1250.0,1174.0,249.0,38.0,Home,W
66,66,Louisville,5,False,True,Boston College,34.0,0.9966490013947578,1332.0,1339.0,Louisville,33.0,0.003350998605242239,1575.0,1568.0,243.0,-1.0,Away,L
67,67,Louisville,6,False,True,Virginia,17.0,0.016923979702644514,1406.0,1382.0,Louisville,34.0,0.9830760202973556,1568.0,1592.0,162.0,17.0,Away,W
68,68,Louisville,8,False,True,Louisville,24.0,0.8834747596048148,1592.0,1626.0,Pittsburgh,10.0,0.1165252403951852,1656.0,1622.0,-64.0,14.0,Home,W
69,69,Louisville,9,False,True,Louisville,48.0,0.9977431752362618,1626.0,1715.0,Wake Forest,21.0,0.00225682476373823,1776.0,1687.0,-150.0,27.0,Home,W
70,70,Louisville,10,False,False,Louisville,34.0,0.9988820751273968,1715.0,1749.0,James Madison,10.0,0.0011179248726030933,1480.0,1446.0,235.0,24.0,Home,W
71,71,Louisville,11,False,True,Clemson,31.0,0.9799680939415144,1773.0,1802.0,Louisville,16.0,0.020031906058485704,1749.0,1720.0,-24.0,-15.0,Away,L
72,72,Louisville,12,False,True,Louisville,25.0,0.9204554638037252,1720.0,1741.0,NC State,10.0,0.07954453619627487,1600.0,1579.0,120.0,15.0,Home,W
73,73,Louisville,13,False,False,Kentucky,26.0,0.9506631327610842,1608.0,1645.0,Louisville,13.0,0.04933686723891595,1741.0,1704.0,133.0,-13.0,Away,L
74,74,Jackson State,1,True,True,Jackson State,59.0,0.9989429476877404,,,Florida A&M,3.0,0.0010570523122594988,,,,56.0,Home,W
75,75,Jackson State,2,True,False,Tennessee State,3.0,0.2620042665454296,,,Jackson State,16.0,0.7379957334545704,,,,13.0,Away,W
76,76,Jackson State,3,False,True,Jackson State,66.0,,,,Grambling,24.0,,,,,42.0,Home,W
77,77,Jackson State,4,False,True,Jackson State,49.0,,,,Mississippi Valley State,7.0,,,,,42.0,Home,W
78,78,Jackson State,6,False,True,Alabama State,12.0,0.005816090327216336,,,Jackson State,26.0,0.9941839096727836,,,,14.0,Away,W
79,79,Jackson State,7,False,True,Bethune-Cookman,8.0,0.002603862740271869,,,Jackson State,48.0,0.997396137259728,,,,40.0,Away,W
80,80,Jackson State,8,False,False,Jackson State,22.0,0.9661323312564892,,,Campbell,14.0,0.03386766874351088,,,,8.0,Home,W
81,81,Jackson State,9,False,True,Jackson State,35.0,0.9966424878255516,,,Southern,0.0,0.003357512174448352,,,,35.0,Home,W
82,82,Jackson State,10,False,True,Texas Southern,14.0,0.19729089482965856,,,Jackson State,41.0,0.8027091051703414,,,,27.0,Away,W
83,83,Jackson State,11,True,True,Jackson State,27.0,,,,Alabama A&M,13.0,,,,,14.0,Home,W
84,84,Jackson State,12,False,True,Alcorn State,13.0,0.5137246090633323,,,Jackson State,24.0,0.4862753909366677,,,,11.0,Away,W
85,85,Jackson State,14,False,True,Jackson State,43.0,0.9325624959482368,,,Southern,24.0,0.0674375040517633,,,,19.0,Home,W
86,86,North Carolina Central,1,True,False,North Carolina Central,28.0,0.9844343546359096,,,North Carolina A&T,13.0,0.015565645364090332,,,,15.0,Home,W
87,87,North Carolina Central,2,False,False,North Carolina Central,41.0,0.9989443801740684,,,Winston-Salem,0.0,0.0010556198259314977,,,,41.0,Home,W
88,88,North Carolina Central,3,False,False,New Hampshire,27.0,0.010090952363678464,,,North Carolina Central,45.0,0.9899090476363216,,,,18.0,Away,W
89,89,North Carolina Central,4,False,False,North Carolina Central,59.0,,,,Virginia Lynchburg,14.0,,,,,45.0,Home,W
90,90,North Carolina Central,5,False,False,Campbell,48.0,0.9868159384757428,,,North Carolina Central,18.0,0.013184061524257218,,,,-30.0,Away,L
91,91,North Carolina Central,7,False,True,North Carolina Central,59.0,0.9989445286426756,,,Morgan State,20.0,0.0010554713573245331,,,,39.0,Home,W
92,92,North Carolina Central,8,False,True,South Carolina State,26.0,,,,North Carolina Central,24.0,,,,,-2.0,Away,L
93,93,North Carolina Central,9,False,True,Delaware State,21.0,0.2262589384033799,,,North Carolina Central,28.0,0.7737410615966201,,,,7.0,Away,W
94,94,North Carolina Central,10,False,True,North Carolina Central,50.0,0.997683035989836,,,Howard,21.0,0.0023169640101640128,,,,29.0,Home,W
95,95,North Carolina Central,11,False,True,Norfolk State,14.0,0.010128699807097977,,,North Carolina Central,48.0,0.9898713001929019,,,,34.0,Away,W
96,96,North Carolina Central,12,False,False,Tennessee Tech,20.0,0.8689493574440407,,,North Carolina Central,22.0,0.13105064255595933,,,,2.0,Away,W
97,97,Florida,1,False,False,Florida,29.0,0.9882886881302856,1572.0,1576.0,Utah,26.0,0.011711311869714414,1790.0,1786.0,-218.0,3.0,Home,W
98,98,Florida,2,False,True,Florida,16.0,0.01800891421311184,1576.0,1567.0,Kentucky,26.0,0.9819910857868882,1713.0,1722.0,-137.0,-10.0,Home,L
99,99,Florida,3,False,False,Florida,31.0,0.2684521007655261,1567.0,1564.0,South Florida,28.0,0.7315478992344739,1247.0,1250.0,320.0,3.0,Home,W
100,100,Florida,4,False,True,Tennessee,38.0,0.4409064321856961,1835.0,1830.0,Florida,33.0,0.5590935678143041,1564.0,1569.0,-271.0,-5.0,Away,L
101,101,Florida,5,False,False,Florida,52.0,0.99897087143748,1568.0,1568.0,Eastern Washington,17.0,0.0010291285625199098,,,,35.0,Home,W
102,102,Florida,6,False,True,Florida,24.0,0.9298237564644809,1569.0,1572.0,Missouri,17.0,0.07017624353551899,1443.0,1440.0,126.0,7.0,Home,W
103,103,Florida,7,False,True,Florida,35.0,0.08763883923610244,1572.0,1553.0,LSU,45.0,0.9123611607638976,1593.0,1612.0,-21.0,-10.0,Home,L
104,104,Florida,9,True,True,Georgia,42.0,0.9981635675734722,2154.0,2155.0,Florida,20.0,0.0018364324265277567,1553.0,1552.0,-601.0,-22.0,Away,L
105,105,Florida,10,False,True,Texas A&M,24.0,0.02368289898895441,1655.0,1603.0,Florida,41.0,0.9763171010110456,1552.0,1604.0,-103.0,17.0,Away,W
106,106,Florida,11,False,True,Florida,38.0,0.9933493957325412,1604.0,1683.0,South Carolina,6.0,0.006650604267458893,1539.0,1460.0,65.0,32.0,Home,W
107,107,Florida,12,False,True,Vanderbilt,31.0,0.8120530584717429,1298.0,1332.0,Florida,24.0,0.18794694152825694,1683.0,1649.0,385.0,-7.0,Away,L
